race,num,Miyagawa,Ichinose,diff_ab,D,t_bar,D_p_t_bar,Final_rank,NFinal_rank,Goal_rank,NGoal_rank,Point,Skater ID
14,21,62.88,62.841,0.039,0.0195,62.8605,0.000310211,21,0.954545455,21,0.954545455,0,61
14,22,19.724,19.308,0.416,0.208,19.516,0.010657922,17,0.772727273,16,0.727272727,0,62
16,1,3.7,3.3,0.4,0.2,3.5,0.057142857,2,0.086956522,2,0.086956522,40,25
16,2,28.539,25.819,2.72,1.36,27.179,0.050038633,3,0.130434783,3,0.130434783,20,26
16,3,3.5,3.6,0.1,0.05,3.55,0.014084507,1,0.043478261,1,0.043478261,60,47
16,4,21.003,20.959,0.044,0.022,20.981,0.001048568,10,0.434782609,5,0.217391304,0,58
16,5,58.328,58.359,0.031,0.0155,58.3435,0.000265668,7,0.304347826,21,0.913043478,0,34
16,6,13.1,12.7,0.4,0.2,12.9,0.015503876,4,0.173913043,4,0.173913043,0,67
16,7,48.019,47.391,0.628,0.314,47.705,0.006582119,9,0.391304348,17,0.739130435,0,68
16,8,23.229,22.619,0.61,0.305,22.924,0.013304833,17,0.739130435,13,0.565217391,0,51
16,9,14.933,13.977,0.956,0.478,14.455,0.033068143,12,0.52173913,7,0.304347826,0,48
16,10,5.3,5.5,0.2,0.1,5.4,0.018518519,11,0.47826087,6,0.260869565,0,35
16,11,8.9,8.5,0.4,0.2,8.7,0.022988506,6,0.260869565,19,0.826086957,0,28
16,12,44.926,43.589,1.337,0.6685,44.2575,0.015104784,8,0.347826087,9,0.391304348,0,32
16,13,6.3,5.9,0.4,0.2,6.1,0.032786885,14,0.608695652,10,0.434782609,0,52
16,14,48.97,48.6,0.37,0.185,48.785,0.003792149,19,0.826086957,15,0.652173913,0,39
16,15,26.491,27.72,1.229,0.6145,27.1055,0.022670676,16,0.695652174,12,0.52173913,0,50
16,16,16.9,18,1.1,0.55,17.45,0.031518625,18,0.782608696,14,0.608695652,0,59
16,17,48.405,48.159,0.246,0.123,48.282,0.002547533,21,0.913043478,20,0.869565217,0,70
16,18,58.328,58.359,0.031,0.0155,58.3435,0.000265668,23,1,23,1,0,65
16,19,47.884,47.64,0.244,0.122,47.762,0.002554332,20,0.869565217,18,0.782608696,0,29
16,20,58.328,58.359,0.031,0.0155,58.3435,0.000265668,22,0.956521739,22,0.956521739,0,31
16,21,7.8,7.2,0.6,0.3,7.5,0.04,5,0.217391304,16,0.695652174,0,53
16,22,23.123,22.179,0.944,0.472,22.651,0.020837932,13,0.565217391,8,0.347826087,0,24
16,23,46.135,38.396,7.739,3.8695,42.2655,0.091552212,15,0.652173913,11,0.47826087,0,69
,,,,,,,,,,,,,
